Timestep	Restart Max	Restart Min	Main Max	Main Min
2	4.715115	1.554103	102.825912	69.651390
3	4.715115	1.554103	102.825912	69.651390
4	5.453237	1.554103	102.825912	69.651390
5	5.453237	1.554103	102.825912	69.579987
6	5.453237	1.200639	102.825912	69.579987
7	5.453237	1.200639	102.825912	69.579987
8	5.453237	1.200639	102.825912	69.579987
9	5.453237	1.200639	102.825912	69.354851
10	5.453237	1.200639	102.825912	69.354851
11	5.453237	1.189996	102.825912	66.894882
12	5.453237	1.189996	102.825912	66.894882
13	5.453237	1.189996	102.825912	66.894882
14	5.453237	1.189996	102.825912	66.894882
15	5.453237	1.189996	102.825912	66.894882
16	5.453237	1.189996	102.825912	66.894882
17	5.453237	1.189996	102.825912	66.894882
18	5.453237	1.189996	102.825912	66.894882
19	5.453237	1.189996	102.825912	66.894882
20	5.453237	1.189996	102.825912	66.894882
21	5.453237	1.189996	102.825912	66.894882
22	5.453237	1.189996	102.825912	66.894882
23	5.453237	1.189996	102.825912	66.894882
24	5.453237	1.189996	102.825912	66.894882
25	5.453237	1.189996	102.825912	66.894882
26	5.453237	1.189996	102.825912	66.894882
27	5.491908	1.189996	102.825912	66.894882
28	5.491908	1.189996	102.825912	66.894882
29	5.491908	1.189996	102.825912	66.894882
30	5.491908	1.189996	102.825912	66.894882
31	5.491908	1.189996	102.825912	66.894882
32	5.491908	1.189996	102.825912	66.894882
33	5.491908	1.189996	102.825912	66.894882
34	5.491908	1.189996	102.825912	66.894882
35	5.491908	1.189996	102.825912	66.894882
36	5.491908	1.189996	102.825912	66.894882
37	5.491908	1.189996	102.825912	66.894882
38	5.491908	1.189996	102.825912	66.894882
39	5.491908	1.189996	102.825912	66.894882
40	5.491908	1.189996	102.825912	66.894882
41	5.491908	1.189996	102.825912	66.894882
42	5.491908	1.189996	102.825912	66.894882
43	5.491908	1.189996	102.825912	66.894882
44	5.491908	1.189996	102.825912	66.894882
45	5.491908	1.189996	102.825912	66.894882
46	5.491908	1.189996	102.825912	66.894882
47	5.491908	1.189996	102.825912	66.894882
48	5.491908	1.189996	102.825912	66.894882
49	5.491908	1.189996	102.825912	66.894882
50	5.491908	1.189996	102.825912	66.894882
51	5.491908	1.189996	102.825912	66.894882
52	5.491908	1.180134	102.825912	66.894882
53	5.491908	1.180134	102.825912	66.894882
54	5.491908	1.180134	102.825912	66.894882
55	5.491908	1.180134	102.825912	66.894882
56	5.491908	1.180134	102.825912	66.894882
57	5.491908	1.180134	102.825912	66.894882
58	5.491908	1.180134	102.825912	66.894882
59	5.491908	1.180134	102.825912	66.894882
60	5.491908	1.180134	102.825912	66.894882
61	5.491908	1.180134	102.825912	66.894882
62	5.491908	1.180134	102.825912	66.894882
63	5.491908	1.180134	102.825912	66.894882
64	5.491908	1.180134	102.825912	66.894882
65	5.491908	1.180134	102.825912	66.894882
66	5.491908	1.180134	102.825912	66.894882
67	5.491908	1.180134	102.825912	66.894882
68	5.491908	1.180134	102.825912	66.894882
69	5.491908	1.180134	102.825912	66.894882
70	5.491908	1.180134	102.825912	66.894882
71	5.491908	1.180134	102.825912	66.894882
72	5.491908	1.180134	102.825912	66.894882
73	5.491908	1.180134	102.825912	66.894882
74	5.491908	1.180134	102.825912	66.894882
75	5.491908	1.180134	102.825912	66.894882
76	5.491908	1.180134	102.825912	66.894882
77	5.491908	1.180134	102.825912	66.894882
78	5.491908	1.180134	102.825912	66.894882
79	5.491908	1.180134	102.825912	66.894882
80	5.491908	1.180134	102.825912	66.894882
81	5.491908	1.180134	102.825912	66.894882
82	5.770460	1.180134	102.825912	66.894882
83	5.770460	1.180134	102.825912	66.894882
84	5.770460	1.180134	102.825912	66.894882
85	5.770460	1.180134	102.825912	66.894882
86	5.770460	1.180134	103.918503	66.894882
87	5.770460	1.180134	103.918503	66.894882
88	5.851580	1.180134	103.918503	66.894882
89	5.851580	1.180134	103.918503	66.894882
90	5.851580	1.180134	103.918503	66.894882
91	5.851580	1.180134	103.918503	66.894882
92	5.851580	1.180134	103.918503	66.894882
93	5.851580	1.180134	103.918503	66.894882
94	5.851580	1.180134	103.918503	66.894882
95	5.851580	1.180134	103.918503	66.894882
96	5.851580	1.180134	103.918503	66.894882
97	5.851580	1.180134	103.918503	66.894882
98	5.851580	1.180134	103.918503	66.894882
99	5.851580	1.180134	103.918503	66.894882
100	5.851580	1.180134	103.918503	66.894882
101	5.851580	1.180134	103.918503	66.894882
102	5.851580	1.180134	409.047028	66.894882
103	5.851580	1.180134	409.047028	66.894882
104	5.851580	1.180134	409.047028	66.894882
105	5.851580	1.180134	409.047028	66.894882
106	5.851580	1.180134	409.047028	66.894882
107	5.851580	1.180134	409.047028	66.894882
108	5.851580	1.180134	409.047028	66.894882
109	5.851580	1.180134	409.047028	66.894882
110	5.851580	1.180134	409.047028	66.894882
111	5.851580	1.180134	409.047028	66.894882
112	5.851580	1.180134	409.047028	66.894882
113	5.851580	1.180134	409.047028	66.894882
114	5.851580	1.180134	409.047028	66.894882
115	5.851580	1.180134	409.047028	66.894882
116	5.851580	1.180134	409.047028	66.894882
117	5.851580	1.180134	409.047028	66.894882
118	5.851580	1.180134	409.047028	66.894882
119	5.851580	1.180134	409.047028	66.894882
120	5.851580	1.180134	409.047028	66.894882
121	5.851580	1.180134	409.047028	66.894882
122	5.851580	1.180134	409.047028	66.894882
123	5.851580	1.180134	409.047028	66.894882
124	5.851580	1.180134	409.047028	66.894882
125	5.851580	1.180134	409.047028	66.894882
126	5.851580	1.180134	409.047028	66.894882
127	5.851580	1.180134	409.047028	66.894882
128	5.851580	1.180134	409.047028	66.894882
129	5.851580	1.180134	409.047028	66.894882
130	3.599459	1.397147	401.953247	66.652275

